Array Size,Array 1,Array 2,Array 3,Array 4,Array 5,Array 6,Array 7,Array 8,Array 9,Array 10
7550,680441,658726,807449,670658,687014,811829,930650,681719,675997,685254
7600,687609,910303,801388,683802,710063,804760,856397,723456,887775,950695
7650,691288,729361,675993,715966,705516,791049,742511,739426,979002,792219
7700,695876,690399,674820,683832,773698,876455,698559,711553,722800,683958
7750,716388,900034,695313,720899,717568,792507,702499,975178,730166,696503
7800,741413,805412,676308,742231,715056,828748,835127,712762,677267,999767
7850,817984,690401,704060,826198,691621,957954,765310,818223,965303,723638
7900,967690,717855,723327,946164,728351,825281,864470,736422,827532,714731
7950,763741,717319,701721,790957,723010,815444,797245,851708,841353,775516
8000,728171,826127,712190,784181,722827,805259,790596,767762,742870,714576
8050,755209,912079,750419,735350,767998,872596,721114,734696,725250,851373
8100,755272,964905,778045,738351,749227,871779,1037535,945275,1011511,731961
8150,774940,806113,730234,719093,730958,877957,755211,945151,860325,775279
8200,754557,771437,754416,868062,757693,850412,731276,937122,984566,739450
8250,1081774,774654,762063,1025101,962447,892959,785064,1019255,760378,759611
8300,887567,762677,845915,736655,792701,926666,757015,757754,883453,909771
8350,992133,781160,1060361,823803,766570,927895,873405,769704,1078892,762361
8400,821251,1010914,747505,980260,785832,1011346,753895,764659,1027800,836676
8450,859861,811084,751392,772559,1059422,875376,1003924,758230,779947,835343
8500,796876,1242555,761486,778267,1087448,857485,870755,814671,1025622,985303
8550,805236,848220,833765,770355,813136,961609,1278992,822877,1100102,1048346
8600,861231,759988,765334,773714,814824,790830,1098599,807843,992427,783052
8650,904269,782490,780045,821386,801858,883089,984311,858414,778206,791451
8700,901300,907382,775001,786306,903162,868458,854643,986837,1074716,857020
8750,1023553,922564,939409,929880,806278,826561,835524,797275,1006275,809433
8800,1032878,987307,883706,790651,829284,926272,815657,814731,1013651,795436
8850,837456,1026634,880114,803085,1049761,937968,826120,1183963,893519,781582
8900,788266,803649,770499,803072,891819,809262,819543,880257,804265,867471
8950,813480,853069,938321,830068,935281,925529,1002817,840043,831571,1125844
9000,971287,790444,829079,962472,822436,1087483,856031,1220268,815223,817657
9050,1081404,1122552,808736,809954,1092081,1126732,1019512,961945,869824,838393
9100,820182,864433,811784,832477,820992,965292,883381,866747,817178,829367
9150,837000,864467,833418,859096,964088,1091723,879942,827305,844956,857434
9200,837370,890917,1118218,854420,961826,827945,1277063,851180,841257,823362
9250,929559,844588,813475,855110,925182,1115806,894499,852604,839793,901216
9300,1206260,1289150,843340,983133,869292,1077020,867383,971250,1102330,900220
9350,897191,844274,838834,846755,848589,1145064,1073137,1040586,837033,882987
9400,1153693,843261,819789,868568,1139021,989136,1218346,1073020,1079932,970752
9450,1092345,878769,861080,1080433,870023,1216379,852491,1106556,888673,1059445
9500,1082523,864856,1120933,857730,891125,1162529,998104,1005164,1136483,878914
9550,1093636,1019848,1110290,890274,912297,1073559,915191,894941,866868,915065
9600,1191839,1147299,1127635,864862,1143446,869322,1071116,887561,860303,1108644
9650,1200247,890531,870347,924327,995913,895900,1027076,888348,888193,902572
9700,898473,1017367,931826,907953,1155020,898154,888564,888544,1108311,883185
9750,1037867,1147117,1162897,892577,902453,1033940,1048565,1022220,896153,895255
9800,907158,893683,872845,1020720,893828,921416,1271851,1267783,923438,1181968
9850,1139711,920123,1135067,893660,904071,913676,1059541,980889,931930,901996
9900,1054131,894619,1147651,929903,1180986,899223,1099191,921098,1049538,920863
9950,1124313,1118670,900278,1174902,963869,1000885,909309,908953,1033673,1126425
